Row,Column,Assay,Sample,Conc,Ct,Tm,Expected Tm,R2,Chi2,Straight R2,Efficiency,Multiple peaks,Outlier,Multimodal melt peaks,F0,Flags,S-DispenseTip,S-DropIndex,S-GlobalDropIndex,S-SP-Well,A-DispenseTip,A-DropIndex,A-GlobalDropIndex,A-SP-Well,Asymmetry,A,B,C,D,E,AmpRatio,Tm minus mean,Ct minus mean
4,24,tetM_1513_Rep1,P23o,-1,25.72273,78.13773,,0.9999774,4198.838,0.7355806,1.962109,FALSE,FALSE,FALSE,8.82E-06,,,,,,,,,,12,2368.176,1.360342,28.51424,11193.23,16.35739,5.726519,,
4,25,tetO_192_Rep1,P23o,-1,19.30298,78.18744,,0.9999703,5747.37,0.8351925,1.933254,FALSE,FALSE,FALSE,0.001315246,,,,,,,,,,8,2302.825,1.38841,22.13146,11008.43,11.19117,5.780402,,
4,26,tet32_54_Rep1,P23o,-1,18.64518,80.4911,,0.9999749,6968.114,0.8240531,1.940575,FALSE,FALSE,FALSE,0.002464915,,,,,,,,,,11,2851.472,1.381135,21.46408,13839.82,5.127093,5.85357,,
4,27,tet40_500_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
4,28,tet44_1539_Rep1,P23o,-1,26.61114,77.595,,0.9999566,7902.56,0.7061239,1.935879,FALSE,FALSE,FALSE,6.60E-06,,,,,,,,,,7,2246.626,1.385789,29.43616,11072.89,12.08288,5.928675,,
4,29,tetK_184_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
4,30,ermA-803_Rep1,P23o,-1,31.24738,76.93937,,0.9993772,46258.3,0.531175,1.893906,FALSE,FALSE,FALSE,2.93E-07,CtIsLarge,,,,,,,,,10,2265.594,1.429437,34.12989,6853.295,8.168339,4.024944,,
4,31,ermG_807_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
4,32,cfxA_106_Rep1,P23o,-1,24.1546,76.78012,,0.9998357,20349.39,0.7689795,2.010671,FALSE,FALSE,FALSE,1.29E-05,,,,,,,,,,9,2133.565,1.316522,26.8884,9558.044,14.14355,5.479846,,
4,33,tetX_196_Rep1,P23o,-1,26.52693,75.22395,,0.9999543,9384.971,0.7066412,1.97519,FALSE,FALSE,FALSE,4.18E-06,,,,,,,,,,9,2347.86,1.348134,29.30237,11505.38,11.86214,5.900368,,
4,34,intl2_338_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
4,35,intl3_1522_Rep1,P23o,,,,,,,,,,,,,MultipleMeltPeaks,,,,,,,,,,,,,,,,,
10,24,ermB_804_Rep1,P23o,-1,21.66036,78.84007,,0.9999858,3432.576,0.8079652,1.942139,FALSE,FALSE,FALSE,0.000255731,,,,,,,,,,12,3139.17,1.379594,24.47723,12977.28,1.835038,5.133984,,
10,25,IncHI2-smr0018_1566_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
10,26,IncI1_repI1_1565_Rep1,P23o,-1,30.9761,81.14254,,0.999979,2068.242,0.5343268,1.920559,FALSE,FALSE,FALSE,2.83E-07,CtIsLarge,,,,,,,,,9,2345.756,1.401285,33.82153,8604.051,9.106246,4.667923,,
10,27,IncN_rep_340_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
10,28,tetQ_185_Rep1,P23o,-1,18.74952,76.02744,,0.9998998,16701.23,0.8250083,1.989238,FALSE,FALSE,FALSE,0.001073353,,,,,,,,,,9,2195.332,1.335362,21.50813,10610.75,10.76492,5.833324,,
10,29,tetW_191_Rep1,P23o,-1,15.94689,81.11125,,0.9999729,5285.304,0.7990728,1.956316,FALSE,FALSE,FALSE,0.01310456,,,,,,,,,,13,2138.002,1.365848,18.74565,11965.16,8.815297,6.59642,,
10,30,IS26_1546_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
10,31,ISEcp1_1550_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
10,32,oqxA_1577_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
10,33,sul2_133_Rep1,P23o,-1,29.94187,85.18165,,0.9999697,3311.757,0.5882041,1.948746,FALSE,FALSE,FALSE,3.90E-07,CtIsLarge,,,,,,,,,12,2114.594,1.37314,32.75023,8897.969,11.83435,5.207884,,
10,34,lncF_FIC_1564_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
10,35,mobA_1524_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
14,24,tnpA_202_Rep1,P23o,,,,,,,,,,,,,NoAmplification,,,,,,,,,,,,,,,,,
14,25,ant6-ia_431_Rep1,P23o,-1,23.45785,79.12905,,0.9999404,11403.75,0.7892938,1.924221,FALSE,FALSE,FALSE,7.56E-05,,,,,,,,,,4,2796.293,1.397536,26.29834,11249.15,6.477557,5.022878,,
